train_precision,train_recall,train_bacc,train_confusion,test_precision,test_recall,test_bacc,test_confusion,id
0.9736147757255936,0.827354260089686,0.9136575896352761,"[[255870     10]
 [    77    369]]",0.9193548387096774,0.7808219178082192,0.8903563701755903,"[[45792     5]
 [   16    57]]",Node0
1.0,0.8343558282208589,0.9171779141104295,"[[21068     0]
 [   27   136]]",0.8055555555555556,0.7945205479452054,0.8971074255327486,"[[45783    14]
 [   15    58]]",Node1
1.0,0.8181818181818182,0.9090909090909092,"[[31435     0]
 [    2     9]]",0.9137931034482759,0.726027397260274,0.8629591099016176,"[[45792     5]
 [   20    53]]",Node2
1.0,0.85,0.925,"[[7415    0]
 [   3   17]]",0.8571428571428571,0.7397260273972602,0.8697647539872952,"[[45788     9]
 [   19    54]]",Node3
1.0,0.8392857142857143,0.9196428571428572,"[[96198     0]
 [   27   141]]",0.875,0.7671232876712328,0.8834743018699855,"[[45789     8]
 [   17    56]]",Node4
