estimators,id,Node0,Node1,Node2,Node3,Node4
"[('Node0', 25), ('Node0', 15), ('Node0', 12), ('Node0', 21), ('Node0', 28), ('Node0', 20), ('Node0', 17), ('Node0', 23), ('Node3', 14), ('Node1', 15), ('Node1', 23), ('Node0', 29), ('Node0', 18), ('Node4', 12), ('Node2', 24), ('Node0', 22), ('Node2', 10), ('Node0', 26), ('Node2', 9), ('Node2', 23), ('Node0', 19), ('Node2', 14), ('Node2', 19), ('Node2', 11), ('Node4', 16)]",Node0,13,2,7,1,2
"[('Node1', 11), ('Node1', 10), ('Node2', 11), ('Node1', 15), ('Node3', 14), ('Node1', 23), ('Node2', 24), ('Node3', 6), ('Node4', 16), ('Node0', 25), ('Node0', 15), ('Node1', 28), ('Node0', 21), ('Node2', 26), ('Node4', 26), ('Node1', 29), ('Node1', 20), ('Node2', 29), ('Node1', 25), ('Node2', 23), ('Node1', 26), ('Node1', 13), ('Node4', 29), ('Node1', 27), ('Node2', 19)]",Node1,3,11,6,2,3
"[('Node2', 19), ('Node2', 14), ('Node2', 9), ('Node2', 23), ('Node2', 29), ('Node2', 18), ('Node2', 26), ('Node2', 27), ('Node2', 15), ('Node2', 17), ('Node2', 24), ('Node2', 10), ('Node2', 22), ('Node2', 21), ('Node2', 11), ('Node2', 3), ('Node2', 28), ('Node0', 15), ('Node1', 23), ('Node1', 15), ('Node4', 16), ('Node0', 25), ('Node0', 12), ('Node4', 29), ('Node4', 15)]",Node2,3,2,17,0,3
"[('Node2', 9), ('Node2', 11), ('Node2', 19), ('Node2', 24), ('Node3', 14), ('Node2', 10), ('Node2', 14), ('Node2', 15), ('Node2', 29), ('Node3', 29), ('Node2', 26), ('Node2', 23), ('Node3', 6), ('Node0', 25), ('Node3', 25), ('Node4', 16), ('Node3', 22), ('Node3', 23), ('Node3', 28), ('Node3', 20), ('Node3', 24), ('Node2', 3), ('Node3', 17), ('Node2', 12), ('Node2', 18)]",Node3,1,0,13,10,1
"[('Node4', 12), ('Node4', 16), ('Node3', 14), ('Node2', 24), ('Node2', 11), ('Node4', 26), ('Node4', 15), ('Node4', 29), ('Node1', 10), ('Node2', 19), ('Node3', 6), ('Node0', 21), ('Node0', 25), ('Node4', 18), ('Node4', 27), ('Node4', 20), ('Node2', 29), ('Node2', 14), ('Node4', 28), ('Node2', 23), ('Node1', 15), ('Node4', 23), ('Node1', 23), ('Node4', 13), ('Node2', 26)]",Node4,2,3,7,2,11
