train_precision,train_recall,train_bacc,train_confusion,test_precision,test_recall,test_bacc,test_confusion,id
0.968421052631579,0.8518518518518519,0.9259108833554515,"[[99714     3]
 [   16    92]]",0.9,0.7105263157894737,0.855210424549685,"[[28442     3]
 [   11    27]]",Node0
0.9870967741935484,0.8181818181818182,0.9090781751038978,"[[78528     2]
 [   34   153]]",0.7567567567567568,0.7368421052631579,0.8682628525964233,"[[28436     9]
 [   10    28]]",Node1
1.0,0.7878787878787878,0.8939393939393939,"[[55320     0]
 [    7    26]]",0.8571428571428571,0.631578947368421,0.8157191625574747,"[[28441     4]
 [   14    24]]",Node2
0.9908256880733946,0.8571428571428571,0.9285490100627077,"[[22302     1]
 [   18   108]]",0.675,0.7105263157894737,0.8550346467328455,"[[28432    13]
 [   11    27]]",Node3
