train_precision,train_recall,train_bacc,train_confusion,test_precision,test_recall,test_bacc,test_confusion,id
0.9746835443037974,0.7938144329896907,0.8968971913316859,"[[99747     2]
 [   20    77]]",0.8888888888888888,0.7272727272727273,0.863583639559035,"[[28447     3]
 [    9    24]]",Node0
1.0,0.803680981595092,0.901840490797546,"[[21068     0]
 [   32   131]]",0.7575757575757576,0.7575757575757576,0.8786472812483357,"[[28442     8]
 [    8    25]]",Node1
1.0,0.9090909090909091,0.9545454545454546,"[[31435     0]
 [    1    10]]",0.9,0.5454545454545454,0.7726921233423869,"[[28448     2]
 [   15    18]]",Node2
1.0,0.8,0.9,"[[7415    0]
 [   4   16]]",0.9166666666666666,0.6666666666666666,0.8332981839484476,"[[28448     2]
 [   11    22]]",Node3
0.9640287769784173,0.7976190476190477,0.8987835357432439,"[[96193     5]
 [   34   134]]",0.8275862068965517,0.7272727272727273,0.8635484901741493,"[[28445     5]
 [    9    24]]",Node4
